"","result.param.estimates...1.","result.plug.in.stand.errs...1."
"sickness_24hr",-0.00465116279211641,0.015651551349482
"flight_24hr",-0.0058097313006491,0.0103968749749695
"medical_24hr",-0.00440985732347521,0.0165094230200616
"berkeley_24hr",-0.0164736164801171,0.0159393166543702
"barber_24hr",0.0150453955771965,0.0136416002615222
"meetup_24hr",-0.00339506172710502,0.00355330903238229
"class_time_24hr",-0.0146666665035926,0.0175914439757091
"chocolate_24hr",-0.266273681734636,0.0554963928247513
"soup_24hr",0.0176245210752397,0.0109159267766896
"dairy_24hr",0.0109123992919333,0.156792417977595
"citrus_24hr",0.0332978611253636,0.0311596409227397
"gluten_24hr",-0.169197815501984,0.0489578992161393
"onion_24hr",0.110653018732332,0.0317275777781422
"pickles_24hr",0.0093789607113588,0.00932893073984642
"olives_24hr",0.00538982562008106,0.0098985297393148
"garlic_24hr",-0.199140338823529,0.0553597423822014
"beans_24hr",-0.0471120652591075,0.0324588093213126
"banana_24hr",-0.00241500828294772,0.0283955670802657
"avocado_24hr",0.108663388585037,0.0746544430466664
"papaya_24hr",0.00151515151634385,0.0105129836049357
"alcohol_24hr",-0.0440057059486294,0.0371263495240225
"raisin_24hr",-0.00229748472480118,0.0351627114253166
"nuts_24hr",0.155178908717075,0.0579207601885438
"pain_med_24hr",-0.148633879887559,0.0558081621077039
"ausanil_24hr",0.0182754182738178,0.0160324287008454
"tramadol_24hr",0.0437960779067426,0.030370094368808
"antibiotic_24hr",-0.00346964064441102,0.00346964064436496
"hbr_24hr",0.0084007379033153,0.00761337819526848
"benadryl_24hr",0.00840073790227569,0.00761337819520964
"neilmed_24hr",-0.0215538847123731,0.0135532023320666
"herbal_med_24hr",0.205030621429226,0.0593935360324444
"flonase_24hr",0.0346846844478017,0.0421963882572407
"magnesium_24hr",0.0412638764658197,0.0521980308877435
"pj_24hr",0.00074906367097971,0.00909923804977534
"anefrin_24hr",0.00799887339799321,0.00550887477102213
"acetometophin_24hr",-0.0277056277056296,46843131473363
"supp_med_24hr",0.054918981554855,0.0595497661511238
"motrin_24hr",-0.0217228465074142,0.0387679509549555
"ginkgo_24hr",-0.0513994910935909,0.0437204351199302
"aleve_24hr",-0.0824561403589483,0.0314519379917842
"allegra_24hr",0.0166666666540667,0.0290319907552746
"water_24hr",NA,NA
"melatonin_24hr",-0.0273653565429317,0.0262780731877818
"htp_24hr",-0.00674157303412337,0.0115915154928766
"fish_oil_24hr",0.190849673182819,0.0523823460331113
"niacin_24hr",0.277083333174057,0.0571936824033594
"coq10_24hr",-0.059817351581662,0.0426001342118611
"zinc_24hr",-0.0515912897822461,44111333662140.2
"glucosamine_24hr",0.0458574818340722,0.0582739158048155
"chondroitin_24hr",-0.0370370370273061,0.0431000485916718
"vit_c_24hr",-0.05032279237086,0.0811871594126116
"vit_d_24hr",0.0903581266758593,0.0455636855772271
"butterbur_24hr",-0.0145833333507837,0.0481032806018869
"feverfew_24hr",-0.00283687944622302,0.0482636665122965
"dymista_24hr",-0.0523125996770872,0.0291801466933308
"topical_analgesic_24hr",-0.0908542778675203,8.13567381905626
"bc_powder_24hr",0.0113948774644754,0.0107939252510742
"montelukast_24hr",-0.0263079221949953,0.0235156120625911
"zyrtec_24hr",0.0114583333360447,0.0159003938671171
"multivitamin_24hr",0.146816479501755,0.0492063096403839
"riboflavin_24hr",0.0910593683455625,0.0453282596715969
"chromium_24hr",0.0805054656721038,0.0396653455792705
"tb_24hr",-0.0195769281388234,0.0449935591018698
"cough_drop_24hr",0.00796019900512568,0.00561823866705579
"caffeine_24hr",-0.066666667263707,0.0610613367947798
"loratadine_24hr",0.00785488433994908,0.0114051340085846
"maxalt_24hr",-0.116435524631947,0.0355486589666913
"zomig_24hr",0.00102564102945402,0.00743274683261394
"hedelman2_24hr",-0.0213836477954039,0.0135542399327793
"allergy_med_24hr",-0.0354166666537912,0.0538817451628254
"test_boost_24hr",-0.0439393939376369,0.0435686398431232
"creatine_24hr",-0.0525968092851381,0.0433896503776931
"aura_24hr",0.0166666666673208,0.00798709317280701
"drink_indicator_24hr",NA,NA
"food_indicator_24hr",NA,NA
"fitness_indicator_24hr",0.00188271049320288,0.0257513071828616
"vacation_24hr",-0.00227698515762476,0.0110880500798688
"prunes_24hr",0.0717604480100742,0.273177584872508
"kt_indicator_24hr",-0.0568627450941048,0.029874123877907
"high_heartrate_24hr",-1.06666666666765,0.0612864069894317
"high_skin_temp_24hr",0.669440869657159,0.0597197738296841
"high_air_temp_24hr",-1.06666666666765,0.0612864069894317
"high_gsr_24hr",0.233333332150597,0.0589737373189097
"high_calories_24hr",0.119640596062215,0.0641368739272759
"high_steps_24hr",-0.00714285714285889,40969197391723.6
